"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?lngmin=-124.8047&lngmax=202.8516&latmin=-37.8575&latmax=67.2040&base_id=46521&show=coords,attr,loc,prot,time,strat,stratext,lith,lithext,geo,rem,ent,entname,crmod,paleoloc&datainfo"
"Access Time","Wed 2024-04-10 11:09:52 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_id","46521"
"","lngmin","-124.8047"
"","lngmax","202.8516"
"","latmin","-37.8575"
"","latmax","67.204"
"","timerule","major"
"","taxon_status","all"
"","show","coords,attr,loc,prot,time,strat,stratext,lith,lithext,geo,rem,ent,entname,crmod,paleoloc"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","protected","cx_int_no","formation","stratgroup","member","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","occurrence_comments","authorizer_no","enterer_no","modifier_no","authorizer","enterer","modifier","created","modified","paleomodel","geoplate","paleoage","paleolng","paleolat"
"150891","occ","","","13456","Panthera cf. leo","species","49734","","Panthera leo","","species","46521","Late Pleistocene","Holocene","0.129","0","6077","87.000000","23.500000","IN","West Bengal","Bankura District","estimated from map","minutes","basin","Geologic and paleontologic reconnaissance of Pleistocene River terraces for a set of basins in western India","","12","Babladanga","","","Babladanga","","","formation","","","","","","","","","","Babladanga Formation proper is comprised of conglomerate and silty sandstone members, overlain by a claiche paleosol that cannibalizes the upper portion of the sandstone member.","","sandstone","","poorly lithified","silty,calcareous","Y","conglomerate","","lithified","","","","sandstone","","poorly lithified","silty,calcareous","Y","conglomerate","","lithified","","","fluvial indet.","","","","23","82","23","W. Clyde","J. Finarelli","W. Clyde","2002-03-27 12:17:10","2003-03-24 07:58:51","gplates","not computable using this model","mid","",""
"196214","occ","","","20166","Felis atrox","species","46509","recombined as","Panthera leo atrox","","subspecies","46509","Irvingtonian","","1.4","0.21","3081","259.522903","37.044701","US","Kansas","Meade","stated in text","4","small collection","""SW1/4SW1/4 sec. 33, T. 34 S., R. 29 W., Meade County""","","33","Kingsdown","","upper","Kingsdown","","upper","group of beds","","Meade","10","","bottom to top","","","","","""lower third of an 18-foot exposure""","""light-brown to light-gray silt to fine sand""","siltstone","brown,gray","","","","sandstone","","","","","""light-brown to light-gray silt to fine sand""","siltstone","brown,gray","","","","sandstone","","","","","sinkhole","","""of sinkhole origin""","""Felis (Panthera) atrox""","4","4","4","J. Alroy","J. Alroy","J. Alroy","2002-05-15 00:00:00","2010-01-27 18:15:45","gplates","101","mid","-100.10","37.28"
"196737","occ","","","20283","Panthera atrox","species","49733","recombined as","Panthera leo atrox","","subspecies","46509","Irvingtonian","","1.4","0.21","2607","257.699997","21.799999","MX","Aguascalientes","","based on nearby landmark","1","","SE of Aguascalientes","","33","Tacubaya","","","Tacubaya","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","4","4","4","J. Alroy","J. Alroy","J. Alroy","2002-05-15 00:00:00","2010-01-27 18:15:14","gplates","104","mid","-101.99","22.04"
"196755","occ","37229","","20285","Panthera ? atrox","species","49733","recombined as","Panthera leo atrox","","subspecies","46509","Pleistocene","","2.58","0.0117","69885","256.800003","20.299999","MX","Jalisco","","based on nearby landmark","1","small collection","","","33","Chapala","","","Chapala","","","group of beds","","","","","","","","","","Rancholabrean according to Lucas (2008)","","not reported","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","435","435","0","P. Mannion","P. Mannion","","2020-08-12 13:21:37","2020-08-12 08:21:37","gplates","104","mid","-102.90","20.55"
"196936","occ","","","20295","Panthera atrox","species","49733","recombined as","Panthera leo atrox","","subspecies","46509","Irvingtonian","","1.4","0.21","1907","259.699997","37.200001","US","Kansas","Meade","based on political unit","1","small collection","","","33","Kingsdown","","upper","Kingsdown","","upper","","","Meade","10","","bottom to top","","","","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","see also Simpson 1941b","4","4","4","J. Alroy","J. Alroy","J. Alroy","2002-05-15 00:00:00","2010-01-27 18:14:38","gplates","101","mid","-99.92","37.44"
"197047","occ","","","20302","Panthera atrox","species","49733","recombined as","Panthera leo atrox","","subspecies","46509","Irvingtonian","","1.4","0.21","1725","281.300003","39.599998","US","Maryland","Allegany","based on political unit","1","","","","33","","","","","","","","","","","","","","","","","Withnell et al. 2020: combined US-ESR dates, paleomagnetics, and data from the Ondatra chronocline provide independent evidence that the fauna from Cumberland Bone Cave is between 660– 830 ka with a most likely age of 756 +87/-98 ka (Fig. 4). ","","not reported","","","","","","","","","","","not reported","","","","","","","","","","cave","","","","4","4","4","J. Alroy","J. Alroy","J. Alroy","2002-05-15 00:00:00","2010-01-27 18:13:50","gplates","101","mid","-78.25","39.75"
"197503","occ","","","20347","Felis atrox","species","46509","recombined as","Panthera leo atrox","","subspecies","46509","Irvingtonian","","1.4","0.21","1916","257.500000","42.700001","US","Nebraska","Sheridan","based on political unit","1","small collection","","","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","4","4","4","J. Alroy","J. Alroy","J. Alroy","2002-05-15 00:00:00","2010-01-27 18:13:05","gplates","101","mid","-102.10","42.94"
"198877","occ","","","20520","Felis atrox","species","46509","recombined as","Panthera leo atrox","","subspecies","46509","Irvingtonian","","1.4","0.21","3567","277.400002","29.700001","US","Florida","Gilchrist","based on political unit","1","small collection","","","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","4","4","4","J. Alroy","J. Alroy","J. Alroy","2002-05-15 00:00:00","2010-01-27 18:12:16","gplates","109","mid","-82.22","29.87"
"198977","occ","","","20533","Felis atrox","species","46509","recombined as","Panthera leo atrox","","subspecies","46509","Irvingtonian","","1.4","0.21","1302","260.199997","34.000000","US","Texas","Foard","based on political unit","1","","","","33","Good Creek","","","Good Creek","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","4","4","4","J. Alroy","J. Alroy","J. Alroy","2002-05-15 00:00:00","2010-01-27 18:11:35","gplates","101","mid","-99.44","34.24"
"199212","occ","","","20569","Panthera atrox","species","49733","recombined as","Panthera leo atrox","","subspecies","46509","Late Pleistocene","","0.129","0.0117","1936","247.099998","42.799999","US","Idaho","Power","based on political unit","1","","","FED","922","American Falls Lake Bed E","","","American Falls Lake Bed E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","4","4","4","J. Alroy","J. Alroy","J. Alroy","2002-05-15 00:00:00","2010-01-27 18:11:09","gplates","not computable using this model","mid","",""
